# Bank<TAB>Start<TAB>EndExclusive<TAB>Category<TAB>Confidence<TAB>Reason
00	8000	C000	CompressedText	Verified	Dialogue groups $00-$19 and compatibility footer
01	8000	C000	CompressedText	Verified	Dialogue groups $1A-$27, group $19 continuation, and compatibility footer
02	8000	C000	CompressedText	Verified	Dialogue groups $28-$35, group $26 continuation, and compatibility footer
03	8000	C000	CompressedText	Verified	Dialogue groups $36-$40, group $35 continuation, and compatibility footer
04	8000	C000	CompressedText	Verified	Dialogue groups $41-$4A, group $40 continuation, and compatibility footer
05	8000	C000	MapEntityData	Verified	Per-map entity, NPC, and event pointer/record data
06	8000	C000	CompressedMonsterGraphics	Verified	Compressed monster graphics consumed by bank $14's bitplane decoder
07	8000	C000	CompressedMonsterGraphics	Verified	Compressed monster graphics consumed by bank $14's bitplane decoder
08	8000	803C	ServiceDirectory	Verified	Thirty map-tile and tileset service pointers
08	80B3	80B5	PointerBytes	Verified	Little-endian pointer read by LDA $80B3,X / LDA $80B4,X at $8057-$805C; both callers store zero to $09 immediately before calling $8055 at $84F2-$8509 and $8799-$879D, so X is zero
08	80C2	80C4	ConstantData	Verified	2 bytes read directly by LDA $80C2 at $80B7, LDA $80C3 at $80BC
08	8225	8229	ConstantData	Verified	4 bytes read directly by LDA $8225 at $81C6, LDA $8227 at $81EC, LDY $8226 at $81C9, LDY $8228 at $81EF
08	8229	822F	GraphicsPointers	Verified	Three graphics-page base pointers
08	8235	8237	PointerBytes	Verified	Little-endian pointer loaded directly by LDA $8235 / LDY $8236 at $80F4-$80F7
08	823B	823D	PointerBytes	Verified	Little-endian pointer loaded directly by LDA $823B / LDA $823C at $8241-$8246 and $8739-$873E
08	833E	8340	ConstantData	Verified	2 bytes read directly by LDA $833E at $8354, LDA $833E at $86B1, LDY $833F at $8357, LDY $833F at $86B4
08	8389	838D	LookupTable	Verified	4 bytes read by LDA $8389,X at $8364, LDA $838A,X at $8369; FCEUX read every byte and executed none
08	8450	8452	ConstantData	Verified	2 bytes read directly by LDA $8450 at $8433, LDA $8451 at $8438
08	8649	864B	ConstantData	Verified	2 bytes read directly by LDA $8649 at $8609, LDY $864A at $860C
08	8703	8710	LookupTable	Verified	13 bytes read by LDA $8703,X at $86F4; FCEUX read every byte and executed none
08	882A	883C	SearchRecords	Verified	Eight 2-byte records and terminal $FF scanned by $880E-$8824: LDA $882B,X/CMP #$FF at $8810-$8815 ends the scan at $883B and LDA $882A,X at $881B reads the other field while X steps by 2
08	8A6C	8A85	MapOverrideTables	Verified	Six map IDs followed by terminal $FF at $8A72 are scanned by LDA $8A6C,X/BMI at $8A45-$8A48; matching X indexes three parallel six-byte submap, destination, and value tables at $8A73/$8A79/$8A7F
08	8A92	8AA1	LookupTable	Verified	Fifteen entries read by LDA $8A92,X at $8A8B after CPX #$0F / BCS at $8A87-$8A89
08	8AAF	8ABF	TilePatternPairs	Verified	Four four-byte patterns read by LDA $8AAF,X at $8573/$8588: X = ((packed value >> (2 * selector)) AND 3) * 4 at $8561-$8570, and each loop reads two bytes twice
08	8ADB	979B	Tilesets	Verified	Fifty-one 64-byte tilesets
08	979B	A1BB	MapTileAuxiliaryData	Verified	Runtime-read auxiliary map and tile records reached through the bank $08 service directory
08	A1BB	A1E5	TilePatterns	Verified	Fourteen three-byte signed increment patterns
08	A1E5	A28D	SpecialTilePatternData	Verified	Additional signed tile-pattern data between the documented increment and explicit-pointer tables
08	A28D	A80D	ExplicitTilePointers	Verified	One hundred seventy-six records of four 16-bit graphics pointers
08	A80D	AEB7	TileDefinitions	Verified	Three-byte logical tile definitions with graphics page, increment pattern, and behavior fields
08	AEB7	AEE3	AnimatedTilePointers	Verified	Twenty-two 16-bit pointers used by animated tile increment pattern $0E
08	AF59	AF5C	InlineServiceOperands	Verified	Three operands consumed by BRK service $05,$EB before code resumes at $AF5C; no official opcode follows two operands at this site, while every call site decodes cleanly after three
08	B66A	B66D	InlineServiceOperands	Verified	Three operands consumed by BRK service $07,$EB at $B669; all decoded call sites use a one-byte parameter before a branch
08	B671	B675	ConstantData	Verified	Two little-endian pointers read directly by LDA $B671/$B672 at $B4F7-$B4FC and $B556-$B55B and by LDY $B673 / LDA $B674 at $B4ED-$B4F0
08	B675	B67D	SearchList	Verified	Seven values and terminal $00 scanned by LDA $B675,X / BEQ at $B574-$B577 from LDX #$00 at $B572; the pointer at $B673 also addresses this list
08	B67D	B67F	ConstantData	Verified	Pointer $B67F read directly by LDY $B67D / LDA $B67E at $B4E5-$B4E8
08	B67F	B681	PointerTargetData	Verified	Two bytes addressed by the pointer at $B67D; the separately indexed records at $B681 follow
